"Year","biomass"
1986,6.55416666666667
1986,0.436666666666667
1986,9.08666666666667
1986,3.11333333333333
1987,2.3375
1987,2.23818181818182
1987,3.75
1987,5.37
1988,2.949375
1988,3.79875
1988,5.64142857142857
1988,6.18555555555556
1989,1.428
1989,4.19181818181818
1989,6.82692307692308
1989,3.30466666666667
1990,0.752
1990,1.2325
1990,1.5625
1990,1.19333333333333
1991,1.84545454545455
1991,1.27027777777778
1991,1.60478260869565
1991,2.97578947368421
1992,5.24538461538462
1992,3.105
1992,2.476875
1992,2.42761904761905
1993,5.02857142857143
1993,2.715
1993,2.41448275862069
1993,2.93
1994,4.34133333333333
1994,3.77
1994,5.908
1994,3.36
1995,4.47888888888889
1995,2.16181818181818
1995,1.38181818181818
1995,1.6975
1996,0.235
1996,1.45
1996,2.918
1997,4.4325
1997,2.406875
1997,2.365
1997,2.23166666666667
1998,2.732
1998,2.8925
1998,4.24375
1998,4.8
1999,1.0431884057971
1999,0.0465151515151515
1999,1.0358064516129
1999,1.79942857142857
2000,0.566710526315789
2000,1.12263157894737
2000,0.81041095890411
2000,1.83958333333333
2001,0.00290909090909091
2001,0.0115094339622642
2001,0.0807936507936508
2001,0.0119298245614035
2002,0.411044776119403
2002,0.388571428571429
2002,0.48304347826087
2002,0.285285714285714
2003,3.06238805970149
2003,3.64134146341463
2003,1.74189873417722
2003,2.88134328358209
2004,1.25925531914894
2004,2.1485
2004,1.76611940298507
2004,1.39070422535211
2005,0.327843137254902
2005,0.422459016393443
2005,0.848888888888889
2005,0.63968253968254
2006,0.1075
2006,0.420454545454545
2006,0.414925373134328
2006,0.0720588235294118
2007,0.423492063492064
2007,0.5536
2007,0.572549019607843
2007,0.408867924528302
2008,0.877037037037037
2008,1.50269230769231
2008,0.82469387755102
2008,0.781071428571429
2009,0.0973134328358209
2009,0.438709677419355
2009,0.532131147540984
2009,0.214035087719298
2010,0.18
2010,0.422156862745098
2010,0.579545454545455
2010,0.0249019607843137
2011,0.0877777777777778
2011,0.184520547945205
2011,0.0841666666666667
2011,0.234931506849315
2012,0.850724637681159
2012,1.03323943661972
2012,0.380533333333333
2012,0.392933333333333
2013,0.876388888888889
2013,0.540972222222222
2013,0.0969565217391304
2013,0.690810810810811
2014,0.436578947368421
2014,0.704473684210526
2014,1.12014705882353
2014,2.00618421052632
2015,0.08828125
2015,0.0418965517241379
2015,0
2015,0.04421875
2016,0.0767924528301887
2016,0.616296296296296
2016,0.0361224489795918
2016,0.0771153846153846
2017,0.0514545454545455
2017,0.0771428571428571
2017,0.175
2017,0.0818367346938775
2018,0.0445945945945946
2018,0.120810810810811
2018,0.558372093023256
2018,0.0756818181818182
