"","Name","RMSE","R_squared","bestlag","maxcorr","mincorr","meancorr","Year","Site","Combo"
"1","SB4yrPS",0.0544599618135642,0.974514978499292,0,0.594269909405396,0.0756350404726095,0.308266086316991,"4","SB","PS"
"2","SB4yrST",0.132928458110515,0.147581384528897,0,0.331015231922682,0.0260054800938857,0.163132104475328,"4","SB","ST"
"3","SB4yrTP",0.097545965354881,0.857471450370503,0,0.507920051371938,0.01122547912232,0.218028126027357,"4","SB","TP"
"4","HB4yrPS",0.0755895958596427,0.943117268112983,2,0.567215506921029,0.0307915114232377,0.265030174939167,"4","HB","PS"
"5","HB4yrST",0.151553060937835,0.812597316844039,3,0.561244621175883,0.0904951171087578,0.304767524172512,"4","HB","ST"
"6","HB4yrTP",0.10734246579893,0.838629331217618,2,0.489464392572608,0.0266429307284997,0.203453645017328,"4","HB","TP"
"7","KP4yrPS",0.0644576471070207,0.943300395826711,2,0.407571379099897,0.0726507005748912,0.250185518264183,"4","KP","PS"
"8","KP4yrST",0.0909334999491195,0.730792297491929,3,0.371985102499562,0.036521537430744,0.145637794700071,"4","KP","ST"
"9","KP4yrTP",0.0681092351041955,0.637370034818573,4,0.258447223356915,0.00435075236252838,0.09057774886954,"4","KP","TP"
"10","SB5yrPS",0.0537138116788047,0.983979677036428,0,0.688480114193037,0.0816370748408746,0.384435751155772,"5","SB","PS"
"11","SB5yrST",0.0866926677262002,0.832413592397901,0,0.494904069848872,0.0696555228508933,0.213613308568365,"5","SB","ST"
"12","SB5yrTP",0.162577550013618,0.418980663879333,0,0.339318794494686,0.0110170535966252,0.170385068338386,"5","SB","TP"
"13","HB5yrPS",0.0606736668871603,0.978152789737034,2,0.731853878471789,0.0990535881621863,0.360775601919325,"5","HB","PS"
"14","HB5yrST",0.0786622185982076,0.962141228328402,4,0.604991163791539,0.102445184577414,0.368983231727954,"5","HB","ST"
"15","HB5yrTP",0.0518121291198598,0.979963433027445,4,0.580570460744744,0.0402697774306228,0.309478122098179,"5","HB","TP"
"16","KP5yrPS",0.0988114608109776,0.826416782155435,1,0.462490989459736,0.031982505446116,0.211200271556201,"5","KP","PS"
"17","KP5yrST",0.106568585931031,0.779165125882761,3,0.402090675299038,0.00283367256958613,0.187672062078247,"5","KP","ST"
"18","KP5yrTP",0.0590418539319989,0.758610382515382,4,0.323433314843777,0.0119314520997651,0.139023985024807,"5","KP","TP"
"19","SB6yrPS",0.055049092224873,0.984094236467019,0,0.682501064107366,0.0582465182774521,0.391651294680331,"6","SB","PS"
"20","SB6yrST",0.10803848574332,0.795988977637164,0,0.528818022866655,0.0366010786766251,0.223399584097113,"6","SB","ST"
"21","SB6yrTP",0.0957772281392085,0.713998201420684,2,0.395928588637629,0.0268734275602985,0.152521740984372,"6","SB","TP"
"22","HB6yrPS",0.0277901561343623,0.99634224870447,2,0.845376481180189,0.170096148921275,0.421321957779005,"6","HB","PS"
"23","HB6yrST",0.0267210671317703,0.996560000486795,1,0.643049780784918,0.188342338483767,0.422511988919579,"6","HB","ST"
"24","HB6yrTP",0.0483463715437221,0.98802810744387,3,0.685907880545092,0.0268345629113929,0.382977657093201,"6","HB","TP"
"25","KP6yrPS",0.106230990259736,0.778006961236196,1,0.486681983136443,0.000930760815667879,0.238747084746685,"6","KP","PS"
"26","KP6yrST",0.196806359426583,0.0889177227954141,4,0.514382286600722,0.0122576856015388,0.147281566626912,"6","KP","ST"
"27","KP6yrTP",0.0393270596798438,0.898665393347479,4,0.349402851797259,0.00028040690985934,0.138341856156216,"6","KP","TP"
"28","SB7yrPS",0.0594008927437977,0.981727926439565,1,0.654182969079698,0.00394666308368153,0.386202104943871,"7","SB","PS"
"29","SB7yrST",0.103109095987618,0.822305169117027,0,0.480777846972287,0.062422424665753,0.221851203373132,"7","SB","ST"
"30","SB7yrTP",0.0941584385550517,0.746888211428371,2,0.464906424160784,0.0189446765212409,0.182385328117349,"7","SB","TP"
"31","HB7yrPS",0.0231118097214014,0.997687540714954,2,0.86926702326103,0.140733469841851,0.453793891931328,"7","HB","PS"
"32","HB7yrST",0.0263877566142423,0.996952861484392,1,0.728177171939688,0.139629298291965,0.439484287374727,"7","HB","ST"
"33","HB7yrTP",0.0442189077793998,0.992486742087758,3,0.762452246809447,0.047540111912996,0.453825431419347,"7","HB","TP"
"34","KP7yrPS",0.0566752987355134,0.951773146185163,0,0.597638998171689,0.0188349870139794,0.31168458616584,"7","KP","PS"
"35","KP7yrST",0.112657403490908,0.822512964472362,4,0.59531552692537,0.00951780175466486,0.2155938608749,"7","KP","ST"
"36","KP7yrTP",0.049766517200209,0.773936075241722,4,0.315766681806325,0.000476871350699826,0.136961248388895,"7","KP","TP"
"37","SB8yrPS",0.0709471211888778,0.970882436815582,0,0.60977743910212,0.00689042403573814,0.366158819316887,"8","SB","PS"
"38","SB8yrST",0.121761984495319,0.788099619805555,0,0.490863937477688,0.0377193229467761,0.223744366300926,"8","SB","ST"
"39","SB8yrTP",0.133954106142267,0.628118446757156,2,0.54179219330001,0.022754555755001,0.211147195632406,"8","SB","TP"
"40","HB8yrPS",0.0306384219523977,0.996018811169808,2,0.881082567601547,0.103076848122098,0.472038768036911,"8","HB","PS"
